dataset	analysis_context	signature	display_name	order_index	gene	definition_type
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	6	TNC	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	1	PECAM1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	2	VWF	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	3	KDR	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	4	CDH5	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	5	ICAM1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	6	VCAM1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	endothelial	Endothelial	7	SELE	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	1	PTPRC	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	2	CD3D	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	3	CD3E	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	4	CD8A	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	5	CD68	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	6	LST1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	immune	Immune	7	NKG7	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	1	ACTA2	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	2	TAGLN	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	3	MYL9	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	4	COL1A1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	5	COL1A2	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	myCAF	Conventional myCAF	6	POSTN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	1	COL1A1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	2	COL1A2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	3	COL3A1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	4	DCN	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	5	LUM	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	6	FAP	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	7	ACTA2	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CAF_stroma	CAF/stroma	8	PDGFRB	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CD8_T_cell	CD8 T cells	1	CD8A	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CD8_T_cell	CD8 T cells	2	CD8B	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CD8_T_cell	CD8 T cells	3	TRAC	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CD8_T_cell	CD8 T cells	4	CD3D	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	CD8_T_cell	CD8 T cells	5	CD3E	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	1	CD68	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	2	CD163	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	3	MRC1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	4	MSR1	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	5	CSF1R	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	6	C1QA	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	7	C1QB	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	TAM_M2	TAM/M2	8	C1QC	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	Treg	Treg	1	FOXP3	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	Treg	Treg	2	IL2RA	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	Treg	Treg	3	CTLA4	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	Treg	Treg	4	CCR8	Reconstructed from listed genes
TCGA-PAAD	Bulk RNA context	Treg	Treg	5	IKZF2	Reconstructed from listed genes
